site_description,SHORT_NAME, LOCATION_NAME, MMP_SITE_NAME
"BUR01","BUR1", "Pelorus Island", "Palms West"
"BUR02","BUR2", "Pandora Reef", "Pandora"
"BUR03","BUR3", "Cordelia Rocks", "Cordelia Rocks"
"BUR04","BUR4", "Geoffrey Bay", "Magnetic"
"BUR05","BUR5", "Cleveland Bay", "Inner Cleveland Bay"
"BUR06","BUR6", "Cape Cleveland", "Cape Cleveland" 
"BUR07","BUR7", "Haughton 2", "Haughton 2"
"BUR07","BUR7", "Bowling Green Bay", "Haughton 2"
"BUR08","BUR8", "Haughton River", "Haughton River mouth"
"BUR09","BUR9", "Barratta Creek", "Barratta Creek"
"BUR11","BUR11", "Cape Bowling Green", "Cape Bowling Green" 
"BUR12","BUR12", "Plantation Creek", "Plantation Creek"
"BUR13","BUR13", "Burdekin mouth", "Burdekin Mouth Mooring"
"BUR13","BUR13", "Burdekin Mouth", "Burdekin Mouth Mooring"
"BUR13","BUR13", "Burdekin River mooring", "Burdekin River mouth mooring"
"BUR13","BUR13", "Burd Mouth Mooring", "Burdekin Mouth Mooring"
"BUR14","BUR14", "Hell Hole Creek", "Burdekin Mouth 2"
"BUR15","BUR15", "Groper Creek", "Burdekin Mouth 3"
"TUL01","TUL1", "King Reef","King"
"TUL02","TUL2", "Dunk Island E", "Clump Point East"
"TUL02","TUL2", "East Dunk", "Clump Point East"
"TUL02","TUL2", "East Clump Point", "Clump Point East"
"TUL03","TUL3", "Dunk Island N","Dunk North"
"TUL03","TUL3", "Dunk North", "Dunk North"
"TUL04","TUL4", "South Mission Beach", "South Mission Beach"
"TUL04","TUL4", "S Mission Beach", "Mission Beach South"
"TUL05","TUL5", "Dunk Island SE", "Dunk Island South East"
"TUL05","TUL5", "Dunk Island South East", "Dunk Island South East"
"TUL05","TUL5", "SE Dunk", "Dunk South"
"TUL06","TUL6", "Tam O'Shanter", "Between Tam O'Shanter and Timana"
"TUL07","TUL7", "Hull River Mouth", "Hull Mouth"
"TUL07","TUL7", "Hull River Mouth", "Hull River mouth"
"TUL08","TUL8", "Bedarra Island", "Bedarra"
"TUL08","TUL8", "Bedarra I", "Bedarra"
"TUL09","TUL9", "Triplets", "Triplets"
"TUL10","TUL10", "Tully River Mouth mooring", "Tully River mouth mooring"
"TUL10","TUL10", "Tully Mouth", "Tully River mouth mooring"
"TUL11","TUL11", "Tully River", "Tully River"
"RM02","RM2", "Unnamed", "RM2"
"RM03","RM3", "Unnamed", "RM3"
"RM04","RM4", "Tobias Spit", "RM4"
"RM05","RM5", "High Island E", "High East"
"RM05","RM5", "High Island East", "High East"
"RM05","RM5", "High Island", "High East"
"RM06","RM6", "Normanby Island", "Normanby Island"
"RM07","RM7", "Mabel Island", "Franklands West"
"RM08","RM8",  "High Island W", "High West"
"RM08","RM8",  "High Island West", "High West"
"RM09","RM9",  "Palmer Point", "Palmer Point"
"RM10","RM10", "Flirt Point", "Russell Mulgrave Mouth Mooring"
"RM10","RM10", "Russell-Mulgrave River mooring", "Russell Mulgrave Mouth Mooring"
"RM10","RM10", "Flirt Point", "Russell Mulgrave Mouth Mooring"
"RM11","RM11", "RM Mouth", "Russell-Mulgrave River mouth"
"RM12","RM12", "RM Junction", "Russell Mulgrave Junction"
"RM12","RM12", "Russel Mulgrave Junction", "Russell-Mulgrave junction"
"WHI04","WHI4", "Pine Island", "Pine"
"WHI06","WHI6", "Oconnell River mouth", "OConnell River mouth"
"WHI06","WHI6", "O'Connell River", "OConnell River mouth"
"WHI07","WHI7", "Repulse Islands dive mooring", "Repulse Islands dive mooring"
"WHI07","WHI7", "Repulse Island", "Repulse Islands dive mooring"
"WHI09","WHI9", "Brampton Island", "Brampton Island"
"WHI10","WHI10.1", "Sand Island", "Sand Bay 1"
"WHI10","WHI10", "Sand Island", "Sand Bay 1"
"WHI10","WHI10", "Sand Island", "Sand Bay"
"WHI11","WHI11", "Pioneer River Mouth", "Pioneer River mouth"



