SHORT_NAME,reef.alias,WATERBODY,Abrev,BOM,Tides,Region,Reg,Subregion,Subreg,Niskin,CairnsNiskin,FLNTU,Coral,WaterTemp,JCU
PRN01,Pascoe River mouth north,Enclosed coastal waters,PRN01,Lockhart River Airport,Portland Roads,Cape York,cy,Pascoe,p,T,F,F,F,F,T
PRN02,PRN02,Open coastal waters,PRN02,Lockhart River Airport,Portland Roads,Cape York,cy,Pascoe,p,T,F,F,F,F,T
PRN03,PRN03,Open coastal waters,PRN03,Lockhart River Airport,Portland Roads,Cape York,cy,Pascoe,p,T,F,F,F,F,T
PRN04,PRN04,Midshelf waters,PRN04,Lockhart River Airport,Piper Island,Cape York,cy,Pascoe,p,T,F,F,F,F,T
PRN05,Eel Reef,Midshelf waters,PRN05,Lockhart River Airport,Piper Island,Cape York,cy,Pascoe,p,T,F,F,F,F,T
PRN06,Eel Reef North,Midshelf waters,PRN06,Lockhart River Airport,Piper Island,Cape York,cy,Pascoe,p,T,F,F,F,F,T
PRS01,Pascoe River mouth south,Enclosed coastal waters,PRS01,Lockhart River Airport,Portland Roads,Cape York,cy,Pascoe,p,T,F,F,F,F,T
PRS02,PRS02,Open coastal waters,PRS02,Lockhart River Airport,Portland Roads,Cape York,cy,Pascoe,p,T,F,F,F,F,T
PRS03,PRS03,Open coastal waters,PRS03,Lockhart River Airport,Portland Roads,Cape York,cy,Pascoe,p,T,F,F,F,F,T
PRS05,PRS05,Midshelf waters,PRS05,Lockhart River Airport,Portland Roads,Cape York,cy,Pascoe,p,T,F,F,F,F,T
PRBB,Middle Reef,Midshelf waters,PRBB,Lockhart River Airport,Portland Roads,Cape York,cy,Pascoe,p,T,F,F,F,F,T
PRS2.5,PRS2.5,Open coastal waters,PRS2.5,Lockhart River Airport,Portland Roads,Cape York,cy,Pascoe,p,T,F,F,F,F,T
,,,,,,,,,,,,,,,
SR00,Stewart River mouth,Enclosed coastal waters,SR01,Lockhart River Airport,Pelican Island (East Coast),Cape York,cy,Stewart,s,T,F,F,F,F,T
SR01,SR01,Enclosed coastal waters,SR01,Lockhart River Airport,Pelican Island (East Coast),Cape York,cy,Stewart,s,T,F,F,F,F,T
SR02,SR02,Enclosed coastal waters,SR02,Lockhart River Airport,Pelican Island (East Coast),Cape York,cy,Stewart,s,T,F,F,F,F,T
SR03,SR03,Open coastal waters,SR03,Lockhart River Airport,Pelican Island (East Coast),Cape York,cy,Stewart,s,T,F,F,F,F,T
SR04,Burkitt Island,Midshelf waters,SR04,Lockhart River Airport,Pelican Island (East Coast),Cape York,cy,Stewart,s,T,F,F,F,F,T
SR05,Hannah Island,Midshelf waters,SR05,Lockhart River Airport,Pelican Island (East Coast),Cape York,cy,Stewart,s,T,F,F,F,F,T
SR06,Magpie Reef,Midshelf waters,SR05,Lockhart River Airport,Pelican Island (East Coast),Cape York,cy,Stewart,s,T,F,F,F,F,T
,,,,,,,,,,,,,,,
CI01,Cliff Isles,Open coastal waters,CI01,Lockhart River Airport,Flinders Island,Cape York,cy,Normanby,n,T,F,F,F,F,T
KR01,Kennedy River mouth,Enclosed coastal waters,KR01,Lockhart River Airport,Normanby River,Cape York,cy,Normanby,n,T,F,F,F,F,T
KR02,Kennedy inshore,Enclosed coastal waters,KR02,Lockhart River Airport,Normanby River,Cape York,cy,Normanby,n,T,F,F,F,F,T
BR01,Bizant River mouth,Enclosed coastal waters,BR01,Lockhart River Airport,Normanby River,Cape York,cy,Normanby,n,T,F,F,F,F,T
NR01,Normanby River mouth,Enclosed coastal waters,NR01,Lockhart River Airport,Normanby River,Cape York,cy,Normanby,n,T,F,F,F,F,T
NR02,Normanby inshore,Enclosed coastal waters,NR02,Lockhart River Airport,Normanby River,Cape York,cy,Normanby,n,T,F,F,F,F,T
NR03,NR03,Open coastal waters,NR03,Lockhart River Airport,Normanby River,Cape York,cy,Normanby,n,T,F,F,F,F,T
NR04,NR04,Open coastal waters,NR04,Lockhart River Airport,Flinders Island,Cape York,cy,Normanby,n,T,F,F,F,F,T
NR05,NR05,Midshelf waters,NR05,Lockhart River Airport,Flinders Island,Cape York,cy,Normanby,n,T,F,F,F,F,T
NR06,Corbett Reef,Offshore waters,NR06,Lockhart River Airport,Flinders Island,Cape York,cy,Normanby,n,T,F,F,F,F,T
,,,,,,,,,,,,,,,
ER01,Endeavour mouth,Enclosed coastal waters,ER01,Cooktown Airport,Cooktown,Cape York,cy,Endeavour,e,T,F,F,F,F,T
ER02b,Endeavour north shore,Open coastal waters,ER02b,Cooktown Airport,Cooktown,Cape York,cy,Endeavour,e,T,F,F,F,F,T
ER03,Endeavour offshore,Open coastal waters,ER03,Cooktown Airport,Cooktown,Cape York,cy,Endeavour,e,T,F,F,F,F,T
ER05,ER05,Midshelf waters,ER05,Cooktown Airport,Cooktown,Cape York,cy,Endeavour,e,T,F,F,F,F,T
ER06,Forrester FLNTU,Offshore waters,ER06,Cooktown Airport,Cooktown,Cape York,cy,Endeavour,e,T,F,T,F,F,T
AR01,Annan mouth,Enclosed coastal waters,AR01,Cooktown Airport,Cooktown,Cape York,cy,Endeavour,e,T,F,F,F,F,T
