MMP_SITE_NAME,Subregion,Measure,GL,DirectionOfFailure
Cape Tribulation,Barron Daintree,DRIFTCHL_UGPERL.wm,0.45,H
Cape Tribulation,Barron Daintree,NOx.wm,0.35,H
Cape Tribulation,Barron Daintree,NTU,1.5,H
Cape Tribulation,Barron Daintree,PN.wm,20,H
Cape Tribulation,Barron Daintree,PP.wm,2.8,H
Cape Tribulation,Barron Daintree,PO4.wm,2,H
Cape Tribulation,Barron Daintree,SECCHI_DEPTH.wm,10,L
Cape Tribulation,Barron Daintree,TSS_MGPERL.wm,2,H
Double Island,Barron Daintree,DRIFTCHL_UGPERL.wm,0.45,H
Double Island,Barron Daintree,NOx.wm,0.35,H
Double Island,Barron Daintree,NTU,1.5,H
Double Island,Barron Daintree,PN.wm,20,H
Double Island,Barron Daintree,PO4.wm,2,H
Double Island,Barron Daintree,PP.wm,2.8,H
Double Island,Barron Daintree,SECCHI_DEPTH.wm,10,L
Double Island,Barron Daintree,TSS_MGPERL.wm,2,H
Fairlead Buoy,Barron Daintree,DRIFTCHL_UGPERL.wm,0.45,H
Fairlead Buoy,Barron Daintree,NOx.wm,0.35,H
Fairlead Buoy,Barron Daintree,NTU,1.5,H
Fairlead Buoy,Barron Daintree,PN.wm,20,H
Fairlead Buoy,Barron Daintree,PO4.wm,2,H
Fairlead Buoy,Barron Daintree,PP.wm,2.8,H
Fairlead Buoy,Barron Daintree,SECCHI_DEPTH.wm,10,L
Fairlead Buoy,Barron Daintree,TSS_MGPERL.wm,2,H
Green Island,Barron Daintree,DRIFTCHL_UGPERL.wm,0.45,H
Green Island,Barron Daintree,NOx.wm,0.35,H
Green Island,Barron Daintree,NTU,1.5,H
Green Island,Barron Daintree,PN.wm,20,H
Green Island,Barron Daintree,PO4.wm,2,H
Green Island,Barron Daintree,PP.wm,2.8,H
Green Island,Barron Daintree,SECCHI_DEPTH.wm,10,L
Green Island,Barron Daintree,TSS_MGPERL.wm,2,H
Port Douglas,Barron Daintree,DRIFTCHL_UGPERL.wm,0.45,H
Port Douglas,Barron Daintree,NOx.wm,0.35,H
Port Douglas,Barron Daintree,NTU,1.5,H
Port Douglas,Barron Daintree,PN.wm,20,H
Port Douglas,Barron Daintree,PO4.wm,2,H
Port Douglas,Barron Daintree,PP.wm,2.8,H
Port Douglas,Barron Daintree,SECCHI_DEPTH.wm,10,L
Port Douglas,Barron Daintree,TSS_MGPERL.wm,2,H
Yorkey's Knob,Barron Daintree,DRIFTCHL_UGPERL.wm,0.45,H
Yorkey's Knob,Barron Daintree,NOx.wm,0.35,H
Yorkey's Knob,Barron Daintree,NTU,1.5,H
Yorkey's Knob,Barron Daintree,PN.wm,20,H
Yorkey's Knob,Barron Daintree,PO4.wm,2,H
Yorkey's Knob,Barron Daintree,PP.wm,2.8,H
