Subregion,River,GBRMPA_SITE_NAME,distance.from.mouth.km
Johnstone Russell Mulgrave,Russell Mulgrave,RM12,0.2
Johnstone Russell Mulgrave,Russell Mulgrave,RM11,2
Johnstone Russell Mulgrave,Russell Mulgrave,RM10,4.3
Johnstone Russell Mulgrave,Russell Mulgrave,RM9,7.1
Johnstone Russell Mulgrave,Russell Mulgrave,RM8,9.9
Johnstone Russell Mulgrave,Russell Mulgrave,RM5,11.5
Johnstone Russell Mulgrave,Russell Mulgrave,RM4,14.9
Johnstone Russell Mulgrave,Russell Mulgrave,RM3,19.8
Johnstone Russell Mulgrave,Russell Mulgrave,RM2,22.9
Johnstone Russell Mulgrave,Russell Mulgrave,RM1,36
Tully Herbert,Tully,TUL11,0.2
Tully Herbert,Tully,TUL10,4.5
Tully Herbert,Tully,TUL8,10.7
Tully Herbert,Tully,TUL6,11.3
Tully Herbert,Tully,TUL3,17.5
Tully Herbert,Tully,TUL5,18.5
Tully Herbert,Tully,TUL2,29.2
Burdekin,Burdekin,BUR14,1.4
Burdekin,Burdekin,BUR13,7.1
Burdekin,Burdekin,BUR12,16
Burdekin,Burdekin,BUR11,33.5
Burdekin,Burdekin,BUR7,70.3
Burdekin,Burdekin,BUR6,84.7
Burdekin,Burdekin,BUR4,104
Burdekin,Burdekin,BUR3,128
Burdekin,Burdekin,BUR2,163
Burdekin,Burdekin,BUR1,185
Mackay Whitsunday,Oconnell,WHI6,4.3
Mackay Whitsunday,Oconnell,WHI7,20
Mackay Whitsunday,Oconnell,WHI5,42.8
Mackay Whitsunday,Oconnell,WHI4,52.8
Mackay Whitsunday,Oconnell,WHI2,77
Mackay Whitsunday,Oconnell,WHI1,89
Fitzroy,Fitzroy,FTZ6,8.9
Fitzroy,Fitzroy,FTZ5,20.6
Fitzroy,Fitzroy,FTZ3,32.8
Fitzroy,Fitzroy,FTZ4,48.8
Fitzroy,Fitzroy,FTZ2,34.5
Fitzroy,Fitzroy,FTZ1,44.6
Annan Endeavour,Annan,AR01,1
Annan Endeavour,Annan,AR02b,3.6
Annan Endeavour,Annan,ER02b,4.0
Annan Endeavour,Annan,ER03,9.4
Annan Endeavour,Annan,AR03b,7.9
Annan Endeavour,Annan,AE04,17.1
Annan Endeavour,Annan,ER05,26.3
Annan Endeavour,Annan,ER06,47.3
Normanby Kennedy Bizant,Normanby,NR01,1
Normanby Kennedy Bizant,Normanby,NR02,4.4
Normanby Kennedy Bizant,Normanby,NR03,12.2
Normanby Kennedy Bizant,Normanby,NR04,19.9
Normanby Kennedy Bizant,Normanby,NR05,27.9
Normanby Kennedy Bizant,Normanby,NR06,36.6
Stewart,Stewart,SR00,0.5
Stewart,Stewart,SR01,1.8
Stewart,Stewart,SR02,3
Stewart,Stewart,SR03,9.7
Stewart,Stewart,SR04,16.5
Stewart,Stewart,SR05,21
Stewart,Stewart,SR06,27.3
Pascoe,Pascoe North,PRN01,1.2
Pascoe,Pascoe North,PRN02,3.8
Pascoe,Pascoe North,PRN03,8.3
Pascoe,Pascoe North,PRN04,13.2
Pascoe,Pascoe North,PRN05,16.1
Pascoe,Pascoe North,PRN06,19.6
Pascoe,Pascoe South,PRS01,1
Pascoe,Pascoe South,PRS2.5,3.5
Pascoe,Pascoe South,PRS02,5.3
Pascoe,Pascoe South,PRS03,5.4
Pascoe,Pascoe South,PRBB,10.9
Pascoe,Pascoe South,PRS05,18.5
