GBRMPA_group;SHORT_NAME;GBRMPA_water_area;Measure;GL.Season;Location;GL;DirectionOfFailure
30;PRS01;Enclosed Coastal waters;NOx.wm;Dry;;;H
30;PRS01;Enclosed Coastal waters;NOx.wm;Wet;Median;1.5;H
30;PRS01;Enclosed Coastal waters;NOx.wm;Annual;;;H
30;PRS01;Enclosed Coastal waters;PN.wm;Dry;;;H
30;PRS01;Enclosed Coastal waters;PN.wm;Wet;;;H
30;PRS01;Enclosed Coastal waters;PN.wm;Annual;;;H
30;PRS01;Enclosed Coastal waters;PO4.wm;Dry;;;H
30;PRS01;Enclosed Coastal waters;PO4.wm;Wet;Median;3;H
30;PRS01;Enclosed Coastal waters;PO4.wm;Annual;;;H
30;PRS01;Enclosed Coastal waters;PP.wm;Dry;;;H
30;PRS01;Enclosed Coastal waters;PP.wm;Wet;;;H
30;PRS01;Enclosed Coastal waters;PP.wm;Annual;;;H
30;PRS01;Enclosed Coastal waters;DRIFTCHL_UGPERL.wm;Dry;;;H
30;PRS01;Enclosed Coastal waters;DRIFTCHL_UGPERL.wm;Wet;Median;0.7;H
30;PRS01;Enclosed Coastal waters;DRIFTCHL_UGPERL.wm;Annual;;;H
30;PRS01;Enclosed Coastal waters;NTU;Dry;;;H
30;PRS01;Enclosed Coastal waters;NTU;Wet;;;H
30;PRS01;Enclosed Coastal waters;NTU;Annual;Median;8;H
30;PRS01;Enclosed Coastal waters;SECCHI_DEPTH.wm;Dry;;;L
30;PRS01;Enclosed Coastal waters;SECCHI_DEPTH.wm;Wet;Median;3;L
30;PRS01;Enclosed Coastal waters;SECCHI_DEPTH.wm;Annual;;;L
30;PRS01;Enclosed Coastal waters;TSS_MGPERL.wm;Dry;;;H
30;PRS01;Enclosed Coastal waters;TSS_MGPERL.wm;Wet;Median;4;H
30;PRS01;Enclosed Coastal waters;TSS_MGPERL.wm;Annual;;;H
;SR02;Enclosed Coastal waters;NOx.wm;Dry;;;H
;SR02;Enclosed Coastal waters;NOx.wm;Wet;Median;1.5;H
;SR02;Enclosed Coastal waters;NOx.wm;Annual;;;H
;SR02;Enclosed Coastal waters;PN.wm;Dry;;;H
;SR02;Enclosed Coastal waters;PN.wm;Wet;;;H
;SR02;Enclosed Coastal waters;PN.wm;Annual;;;H
;SR02;Enclosed Coastal waters;PO4.wm;Dry;;;H
;SR02;Enclosed Coastal waters;PO4.wm;Wet;Median;2;H
;SR02;Enclosed Coastal waters;PO4.wm;Annual;;;H
;SR02;Enclosed Coastal waters;PP.wm;Dry;;;H
;SR02;Enclosed Coastal waters;PP.wm;Wet;;;H
;SR02;Enclosed Coastal waters;PP.wm;Annual;;;H
;SR02;Enclosed Coastal waters;DRIFTCHL_UGPERL.wm;Dry;;;H
;SR02;Enclosed Coastal waters;DRIFTCHL_UGPERL.wm;Wet;Median;0.4;H
;SR02;Enclosed Coastal waters;DRIFTCHL_UGPERL.wm;Annual;;;H
;SR02;Enclosed Coastal waters;NTU;Dry;;;H
;SR02;Enclosed Coastal waters;NTU;Wet;;;H
;SR02;Enclosed Coastal waters;NTU;Annual;;;H
;SR02;Enclosed Coastal waters;SECCHI_DEPTH.wm;Dry;;;L
;SR02;Enclosed Coastal waters;SECCHI_DEPTH.wm;Wet;Median;3.1;L
;SR02;Enclosed Coastal waters;SECCHI_DEPTH.wm;Annual;;;L
;SR02;Enclosed Coastal waters;TSS_MGPERL.wm;Dry;;;H
;SR02;Enclosed Coastal waters;TSS_MGPERL.wm;Wet;Median;5;H
;SR02;Enclosed Coastal waters;TSS_MGPERL.wm;Annual;;;H
40;NR02;Enclosed Coastal waters;NOx.wm;Dry;;;H
40;NR02;Enclosed Coastal waters;NOx.wm;Wet;Median;1;H
40;NR02;Enclosed Coastal waters;NOx.wm;Annual;;;H
40;NR02;Enclosed Coastal waters;PN.wm;Dry;;;H
40;NR02;Enclosed Coastal waters;PN.wm;Wet;;;H
40;NR02;Enclosed Coastal waters;PN.wm;Annual;;;H
40;NR02;Enclosed Coastal waters;PO4.wm;Dry;;;H
40;NR02;Enclosed Coastal waters;PO4.wm;Wet;Median;2;H
40;NR02;Enclosed Coastal waters;PO4.wm;Annual;;;H
40;NR02;Enclosed Coastal waters;PP.wm;Dry;;;H
40;NR02;Enclosed Coastal waters;PP.wm;Wet;;;H
40;NR02;Enclosed Coastal waters;PP.wm;Annual;;;H
