GBRMPA_group;SHORT_NAME;GBRMPA_water_area;Measure;GL.Season;Location;GL;DirectionOfFailure
30;ER01,AR01,PRN01,PRS01;Enclosed Coastal waters;NOx.wm;Dry;Median;;H
30;ER01,AR01,PRN01,PRS01;Enclosed Coastal waters;NOx.wm;Wet;Median;1.5;H
30;ER01,AR01,PRN01,PRS01;Enclosed Coastal waters;NOx.wm;Annual;Median;;H
30;ER01,AR01,PRN01,PRS01;Enclosed Coastal waters;PN.wm;Dry;Median;;H
30;ER01,AR01,PRN01,PRS01;Enclosed Coastal waters;PN.wm;Wet;Median;;H
30;ER01,AR01,PRN01,PRS01;Enclosed Coastal waters;PN.wm;Annual;Mean;;H
30;ER01,AR01,PRN01,PRS01;Enclosed Coastal waters;PO4.wm;Dry;Median;;H
30;ER01,AR01,PRN01,PRS01;Enclosed Coastal waters;PO4.wm;Wet;Median;3.0;H
30;ER01,AR01,PRN01,PRS01;Enclosed Coastal waters;PO4.wm;Annual;Median;;H
30;ER01,AR01,PRN01,PRS01;Enclosed Coastal waters;PP.wm;Dry;Median;;H
30;ER01,AR01,PRN01,PRS01;Enclosed Coastal waters;PP.wm;Wet;Median;;H
30;ER01,AR01,PRN01,PRS01;Enclosed Coastal waters;PP.wm;Annual;Mean;;H
30;ER01,AR01,PRN01,PRS01;Enclosed Coastal waters;DRIFTCHL_UGPERL.wm;Dry;Median;;H
30;ER01,AR01,PRN01,PRS01;Enclosed Coastal waters;DRIFTCHL_UGPERL.wm;Wet;Median;0.7;H
30;ER01,AR01,PRN01,PRS01;Enclosed Coastal waters;DRIFTCHL_UGPERL.wm;Annual;Median;;H
30;ER01,AR01,PRN01,PRS01;Enclosed Coastal waters;NTU;Dry;Median;;H
30;ER01,AR01,PRN01,PRS01;Enclosed Coastal waters;NTU;Wet;Median;;H
30;ER01,AR01,PRN01,PRS01;Enclosed Coastal waters;NTU;Annual;Median;10;H
30;ER01,AR01,PRN01,PRS01;Enclosed Coastal waters;SECCHI_DEPTH.wm;Dry;Median;;L
30;ER01,AR01,PRN01,PRS01;Enclosed Coastal waters;SECCHI_DEPTH.wm;Wet;Median;3.0;L
30;ER01,AR01,PRN01,PRS01;Enclosed Coastal waters;SECCHI_DEPTH.wm;Annual;Mean;;L
30;ER01,AR01,PRN01,PRS01;Enclosed Coastal waters;TSS_MGPERL.wm;Dry;Median;;H
30;ER01,AR01,PRN01,PRS01;Enclosed Coastal waters;TSS_MGPERL.wm;Wet;Median;4.0;H
30;ER01,AR01,PRN01,PRS01;Enclosed Coastal waters;TSS_MGPERL.wm;Annual;Median;;H
;SR01,SR02;Enclosed Coastal waters;NOx.wm;Dry;Median;;H
;SR01,SR02;Enclosed Coastal waters;NOx.wm;Wet;Median;1.5;H
;SR01,SR02;Enclosed Coastal waters;NOx.wm;Annual;Median;;H
;SR01,SR02;Enclosed Coastal waters;PN.wm;Dry;Median;;H
;SR01,SR02;Enclosed Coastal waters;PN.wm;Wet;Median;;H
;SR01,SR02;Enclosed Coastal waters;PN.wm;Annual;Mean;;H
;SR01,SR02;Enclosed Coastal waters;PO4.wm;Dry;Median;;H
;SR01,SR02;Enclosed Coastal waters;PO4.wm;Wet;Median;2.0;H
;SR01,SR02;Enclosed Coastal waters;PO4.wm;Annual;Median;;H
;SR01,SR02;Enclosed Coastal waters;PP.wm;Dry;Median;;H
;SR01,SR02;Enclosed Coastal waters;PP.wm;Wet;Median;;H
;SR01,SR02;Enclosed Coastal waters;PP.wm;Annual;Mean;;H
;SR01,SR02;Enclosed Coastal waters;DRIFTCHL_UGPERL.wm;Dry;Median;;H
;SR01,SR02;Enclosed Coastal waters;DRIFTCHL_UGPERL.wm;Wet;Median;0.4;H
;SR01,SR02;Enclosed Coastal waters;DRIFTCHL_UGPERL.wm;Annual;Median;;H
;SR01,SR02;Enclosed Coastal waters;NTU;Dry;Median;;H
;SR01,SR02;Enclosed Coastal waters;NTU;Wet;Median;;H
;SR01,SR02;Enclosed Coastal waters;NTU;Annual;Median;10;H
;SR01,SR02;Enclosed Coastal waters;SECCHI_DEPTH.wm;Dry;Median;;L
;SR01,SR02;Enclosed Coastal waters;SECCHI_DEPTH.wm;Wet;Median;3.1;L
;ER01,AR01,SR01,SR02;Enclosed Coastal waters;SECCHI_DEPTH.wm;Annual;Mean;;L
;SR01,SR02;Enclosed Coastal waters;TSS_MGPERL.wm;Dry;Median;;H
;SR01,SR02;Enclosed Coastal waters;TSS_MGPERL.wm;Wet;Median;5.0;H
;SR01,SR02;Enclosed Coastal waters;TSS_MGPERL.wm;Annual;Mean;;H
40;KR01,KR02,BR01,NR01,NR02;Enclosed Coastal waters;NOx.wm;Dry;Median;;H
40;KR01,KR02,BR01,NR01,NR02;Enclosed Coastal waters;NOx.wm;Wet;Median;1.0;H
40;KR01,KR02,BR01,NR01,NR02;Enclosed Coastal waters;NOx.wm;Annual;Median;;H
40;KR01,KR02,BR01,NR01,NR02;Enclosed Coastal waters;PN.wm;Dry;Median;;H
40;KR01,KR02,BR01,NR01,NR02;Enclosed Coastal waters;PN.wm;Wet;Median;;H
40;KR01,KR02,BR01,NR01,NR02;Enclosed Coastal waters;PN.wm;Annual;Mean;;H
40;KR01,KR02,BR01,NR01,NR02;Enclosed Coastal waters;PO4.wm;Dry;Median;;H
40;KR01,KR02,BR01,NR01,NR02;Enclosed Coastal waters;PO4.wm;Wet;Median;2.0;H
40;KR01,KR02,BR01,NR01,NR02;Enclosed Coastal waters;PO4.wm;Annual;Median;;H
40;KR01,KR02,BR01,NR01,NR02;Enclosed Coastal waters;PP.wm;Dry;Median;;H
40;KR01,KR02,BR01,NR01,NR02;Enclosed Coastal waters;PP.wm;Wet;Median;;H
40;KR01,KR02,BR01,NR01,NR02;Enclosed Coastal waters;PP.wm;Annual;Mean;;H
40;KR01,KR02,BR01,NR01,NR02;Enclosed Coastal waters;DRIFTCHL_UGPERL.wm;Dry;Median;;H
40;KR01,KR02,BR01,NR01,NR02;Enclosed Coastal waters;DRIFTCHL_UGPERL.wm;Wet;Median;0.7;H
40;KR01,KR02,BR01,NR01,NR02;Enclosed Coastal waters;DRIFTCHL_UGPERL.wm;Annual;Median;;H
40;KR01,KR02,BR01,NR01,NR02;Enclosed Coastal waters;NTU;Dry;Median;;H
40;KR01,KR02,BR01,NR01,NR02;Enclosed Coastal waters;NTU;Wet;Median;;H
40;KR01,KR02,BR01,NR01,NR02;Enclosed Coastal waters;NTU;Annual;Median;11;H
40;KR01,KR02,BR01,NR01,NR02;Enclosed Coastal waters;SECCHI_DEPTH.wm;Dry;Median;;L
40;KR01,KR02,BR01,NR01,NR02;Enclosed Coastal waters;SECCHI_DEPTH.wm;Wet;Median;1.5;L
40;KR01,KR02,BR01,NR01,NR02;Enclosed Coastal waters;SECCHI_DEPTH.wm;Annual;Mean;;L
40;KR01,KR02,BR01,NR01,NR02;Enclosed Coastal waters;TSS_MGPERL.wm;Dry;Median;;H
40;KR01,KR02,BR01,NR01,NR02;Enclosed Coastal waters;TSS_MGPERL.wm;Wet;Median;6.0;H
40;KR01,KR02,BR01,NR01,NR02;Enclosed Coastal waters;TSS_MGPERL.wm;Annual;Mean;;H
50;ER02b,ER03,AR02b,AR03b,CI01,NR03,NR04,SR03,SR04,PRN02,PRN03,PRS02,PRS03,PRS2.5;Open Coastal waters;NOx.wm;Dry;Median;0.32;H
50;ER02b,ER03,AR02b,AR03b,CI01,NR03,NR04,SR03,SR04,PRN02,PRN03,PRS02,PRS03,PRS2.5;Open Coastal waters;NOx.wm;Wet;Median;0.45;H
50;ER02b,ER03,AR02b,AR03b,CI01,NR03,NR04,SR03,SR04,PRN02,PRN03,PRS02,PRS03,PRS2.5;Open Coastal waters;NOx.wm;Annual;Median;0.35;H
50;ER02b,ER03,AR02b,AR03b,CI01,NR03,NR04,SR03,SR04,PRN02,PRN03,PRS02,PRS03,PRS2.5;Open Coastal waters;PN.wm;Dry;Mean;16;H
50;ER02b,ER03,AR02b,AR03b,CI01,NR03,NR04,SR03,SR04,PRN02,PRN03,PRS02,PRS03,PRS2.5;Open Coastal waters;PN.wm;Wet;Median;20;H
50;ER02b,ER03,AR02b,AR03b,CI01,NR03,NR04,SR03,SR04,PRN02,PRN03,PRS02,PRS03,PRS2.5;Open Coastal waters;PN.wm;Annual;Median;18;H
50;ER02b,ER03,AR02b,AR03b,CI01,NR03,NR04,SR03,SR04,PRN02,PRN03,PRS02,PRS03,PRS2.5;Open Coastal waters;PO4.wm;Dry;Median;1.86;H
50;ER02b,ER03,AR02b,AR03b,CI01,NR03,NR04,SR03,SR04,PRN02,PRN03,PRS02,PRS03,PRS2.5;Open Coastal waters;PO4.wm;Wet;Median;0.93;H
50;ER02b,ER03,AR02b,AR03b,CI01,NR03,NR04,SR03,SR04,PRN02,PRN03,PRS02,PRS03,PRS2.5;Open Coastal waters;PO4.wm;Annual;Median;1.40;H
50;ER02b,ER03,AR02b,AR03b,CI01,NR03,NR04,SR03,SR04,PRN02,PRN03,PRS02,PRS03,PRS2.5;Open Coastal waters;PP.wm;Dry;Mean;2.3;H
50;ER02b,ER03,AR02b,AR03b,CI01,NR03,NR04,SR03,SR04,PRN02,PRN03,PRS02,PRS03,PRS2.5;Open Coastal waters;PP.wm;Wet;Median;3;H
50;ER02b,ER03,AR02b,AR03b,CI01,NR03,NR04,SR03,SR04,PRN02,PRN03,PRS02,PRS03,PRS2.5;Open Coastal waters;PP.wm;Annual;Median;2.6;H
